DEBUG:root:x,y,area_p,Ax,Ay
DEBUG:root:500,466,10,59,-56
DEBUG:root:501,477,9,59,-57
DEBUG:root:557,491,10,59,-58
DEBUG:root:613,496,9,-44,-58
DEBUG:root:691,500,11,-58,-58
DEBUG:root:802,500,11,-59,59
DEBUG:root:908,496,6,-60,60
DEBUG:root:821,463,10,-59,60
DEBUG:root:677,458,10,-59,-56
DEBUG:root:485,439,12,59,-53
DEBUG:root:377,442,12,60,-59
DEBUG:root:178,455,12,60,-57
DEBUG:root:50,460,7,60,-60
DEBUG:root:60,460,9,60,-60
DEBUG:root:69,460,10,60,-60
DEBUG:root:155,444,10,60,-59
DEBUG:root:196,368,5,60,-27
DEBUG:root:225,352,6,60,-51
DEBUG:root:303,331,4,59,-52
DEBUG:root:390,330,3,59,-21
DEBUG:root:484,330,3,59,58
DEBUG:root:675,404,9,-49,60
DEBUG:root:743,402,10,-59,60
DEBUG:root:835,419,11,-59,60
DEBUG:root:896,422,9,-60,60
DEBUG:root:897,388,7,-60,60
DEBUG:root:766,371,9,-59,60
DEBUG:root:565,367,8,43,43
DEBUG:root:378,365,8,59,-41
DEBUG:root:189,371,9,60,-17
DEBUG:root:42,386,5,60,-59
DEBUG:root:65,496,8,60,-60
DEBUG:root:77,441,10,60,-59
DEBUG:root:212,462,13,60,-59
DEBUG:root:233,464,11,60,-59
DEBUG:root:263,462,10,60,-59
DEBUG:root:339,444,11,60,-59
DEBUG:root:399,442,9,60,-59
DEBUG:root:436,442,7,59,-53
DEBUG:root:526,421,9,2,-52
DEBUG:root:621,418,14,-56,-50
DEBUG:root:686,408,22,-57,60
DEBUG:root:872,315,7,-60,60
DEBUG:root:803,316,8,-60,60
DEBUG:root:619,314,7,37,60
DEBUG:root:429,311,7,59,59
DEBUG:root:250,315,7,60,-52
DEBUG:root:85,328,7,60,-37
DEBUG:root:28,277,2,60,-56
DEBUG:root:119,274,3,60,59
DEBUG:root:668,94,0,-60,60
DEBUG:root:190,259,2,60,57
DEBUG:root:465,257,2,59,60
DEBUG:root:578,331,6,59,60
DEBUG:root:632,333,6,14,60
DEBUG:root:635,332,5,1,60
DEBUG:root:641,332,5,-21,60
DEBUG:root:658,345,5,-50,60
DEBUG:root:696,350,5,-59,60
DEBUG:root:783,369,6,-59,60
DEBUG:root:789,372,5,-59,60
DEBUG:root:803,410,7,-59,60
DEBUG:root:819,426,8,-59,60
DEBUG:root:799,458,11,-59,60
DEBUG:root:784,466,10,-59,60
DEBUG:root:713,473,14,-59,-56
DEBUG:root:614,458,9,-51,-56
DEBUG:root:502,367,3,2,-35
DEBUG:root:468,405,4,59,-45
DEBUG:root:865,185,0,-60,60
DEBUG:root:455,407,4,59,-48
DEBUG:root:417,421,4,59,-50
DEBUG:root:778,187,0,-60,60
DEBUG:root:376,426,6,60,-59
DEBUG:root:752,180,0,-60,60
DEBUG:root:343,427,6,60,-59
DEBUG:root:753,179,0,-60,60
DEBUG:root:344,425,6,60,-59
DEBUG:root:354,424,7,60,-59
DEBUG:root:392,420,9,60,-58
DEBUG:root:768,168,0,-60,60
DEBUG:root:397,428,9,60,-59
DEBUG:root:360,442,8,60,-59
DEBUG:root:696,179,0,-60,60
DEBUG:root:323,481,10,60,-59
DEBUG:root:286,482,13,60,-59
DEBUG:root:288,511,9,60,-59
DEBUG:root:739,184,0,-60,60
DEBUG:root:378,510,11,60,-59
DEBUG:root:378,510,11,60,-59
DEBUG:root:435,511,10,60,-59
DEBUG:root:436,513,9,60,-59
DEBUG:root:446,518,9,60,-59
DEBUG:root:469,518,10,60,-59
DEBUG:root:783,199,0,-60,60
DEBUG:root:454,530,9,60,-59
DEBUG:root:837,201,0,-60,60
DEBUG:root:491,520,10,60,-59
DEBUG:root:527,517,11,59,-59
DEBUG:root:597,515,11,27,-59
DEBUG:root:600,512,12,-9,-59
DEBUG:root:619,512,12,-43,-59
DEBUG:root:542,519,12,59,-58
DEBUG:root:436,516,10,60,-59
DEBUG:root:398,518,9,60,-59
DEBUG:root:326,520,10,60,-59
DEBUG:root:252,519,10,60,-59
DEBUG:root:209,516,11,60,-59
DEBUG:root:152,516,11,60,-59
DEBUG:root:122,491,11,60,-59
DEBUG:root:117,493,11,60,-60
DEBUG:root:77,482,10,60,-60
DEBUG:root:78,475,10,60,-60
DEBUG:root:69,465,11,60,-60
DEBUG:root:31,498,4,60,-60
DEBUG:root:80,425,13,60,-59
DEBUG:root:77,427,12,60,-59
DEBUG:root:80,422,14,60,-59
DEBUG:root:103,424,17,60,-59
DEBUG:root:135,410,23,60,-58
DEBUG:root:176,390,27,60,-9
DEBUG:root:212,381,27,60,-52
DEBUG:root:210,383,28,60,-52
DEBUG:root:228,363,35,60,-55
DEBUG:root:117,366,23,60,-38
DEBUG:root:122,414,24,60,-59
DEBUG:root:128,262,18,60,59
DEBUG:root:138,263,21,60,59
DEBUG:root:118,385,24,60,-57
DEBUG:root:204,359,44,60,-33
DEBUG:root:390,359,49,59,-41
DEBUG:root:618,357,55,55,60
DEBUG:root:620,357,54,54,60
DEBUG:root:554,365,52,29,23
DEBUG:root:402,356,52,59,-36
DEBUG:root:342,357,49,59,-46
DEBUG:root:311,363,50,60,-59
DEBUG:root:315,357,44,60,-58
DEBUG:root:302,362,35,60,-59
DEBUG:root:285,362,27,60,-59
DEBUG:root:324,348,20,59,-51
DEBUG:root:378,365,25,59,-41
DEBUG:root:350,365,24,59,-47
DEBUG:root:303,339,20,59,-55
DEBUG:root:315,312,19,59,-22
DEBUG:root:354,255,13,60,59
DEBUG:root:375,243,12,60,59
DEBUG:root:354,251,13,60,59
DEBUG:root:342,255,12,59,59
DEBUG:root:284,251,13,59,57
DEBUG:root:282,254,17,59,55
DEBUG:root:273,269,19,59,37
DEBUG:root:270,273,18,59,29
DEBUG:root:230,291,22,60,4
DEBUG:root:227,297,20,60,-2
DEBUG:root:158,329,27,60,56
DEBUG:root:125,348,25,60,46
DEBUG:root:116,368,24,60,-45
DEBUG:root:135,366,25,60,32
DEBUG:root:196,364,25,60,-24
DEBUG:root:215,366,29,60,-49
DEBUG:root:214,364,30,60,-48
DEBUG:root:216,365,28,60,-50
DEBUG:root:197,368,31,60,-29
DEBUG:root:206,370,27,60,-43
DEBUG:root:246,379,25,60,-59
DEBUG:root:248,375,24,60,-59
DEBUG:root:268,369,23,60,-59
DEBUG:root:248,348,20,60,-58
DEBUG:root:233,275,12,60,11
DEBUG:root:251,254,10,60,51
DEBUG:root:244,236,9,60,58
DEBUG:root:250,222,8,59,59
DEBUG:root:280,206,9,60,59
DEBUG:root:266,200,10,60,59
DEBUG:root:251,201,9,60,59
DEBUG:root:226,217,9,60,59
DEBUG:root:232,221,11,60,59
DEBUG:root:232,364,20,60,-56
DEBUG:root:210,352,21,60,-36
DEBUG:root:161,370,25,60,40
DEBUG:root:133,378,23,60,-19
DEBUG:root:136,389,21,60,-40
DEBUG:root:191,402,18,60,-45
DEBUG:root:892,85,0,-60,60
DEBUG:root:231,386,18,60,-58
DEBUG:root:246,379,17,60,-59
DEBUG:root:271,373,18,60,-59
DEBUG:root:286,385,18,60,-59
DEBUG:root:284,366,14,60,-59
DEBUG:root:328,367,14,60,-58
DEBUG:root:379,353,13,59,-41
DEBUG:root:491,328,12,59,59
DEBUG:root:503,315,10,59,60
DEBUG:root:549,312,12,59,60
DEBUG:root:584,296,11,59,60
DEBUG:root:639,289,12,-58,60
DEBUG:root:710,288,12,-59,60
DEBUG:root:787,281,13,-60,60
DEBUG:root:780,281,15,-60,60
DEBUG:root:836,305,18,-60,60
DEBUG:root:822,318,15,-60,60
DEBUG:root:803,309,12,-60,60
DEBUG:root:763,319,11,-59,60
DEBUG:root:689,319,11,-59,60
DEBUG:root:632,324,11,4,60
DEBUG:root:583,330,12,59,60
DEBUG:root:492,336,9,59,57
DEBUG:root:466,335,8,58,44
DEBUG:root:410,351,8,59,-30
DEBUG:root:358,363,8,59,-38
DEBUG:root:357,367,8,59,-43
DEBUG:root:379,386,8,59,-41
DEBUG:root:447,408,10,59,-50
DEBUG:root:487,408,9,59,-48
DEBUG:root:526,425,9,4,-52
DEBUG:root:583,428,11,-44,-52
DEBUG:root:634,429,10,-57,-52
DEBUG:root:640,425,11,-58,-51
DEBUG:root:695,428,13,-58,60
DEBUG:root:751,426,15,-59,60
DEBUG:root:759,421,13,-59,60
DEBUG:root:751,418,16,-59,60
DEBUG:root:670,420,14,-46,59
DEBUG:root:654,406,13,13,60
DEBUG:root:584,400,15,-50,-46
DEBUG:root:546,409,17,-24,-49
DEBUG:root:503,422,16,58,-51
DEBUG:root:454,436,17,59,-55
DEBUG:root:384,445,22,60,-59
DEBUG:root:935,94,0,-60,60
DEBUG:root:247,448,27,60,-59
DEBUG:root:209,452,28,60,-59
DEBUG:root:892,104,0,-60,60
DEBUG:root:205,443,24,60,-58
DEBUG:root:892,104,0,-60,60
DEBUG:root:209,450,22,60,-59
DEBUG:root:893,105,0,-60,60
DEBUG:root:230,449,20,60,-59
DEBUG:root:242,448,29,60,-59
DEBUG:root:248,440,23,60,-59
DEBUG:root:306,452,28,60,-59
DEBUG:root:321,411,22,60,-59
DEBUG:root:394,439,33,60,-59
DEBUG:root:395,415,28,59,-54
DEBUG:root:451,422,36,59,-53
DEBUG:root:492,380,31,19,-41
DEBUG:root:609,389,34,39,59
DEBUG:root:825,303,24,-60,60
DEBUG:root:687,421,49,-55,60
