DEBUG:root:x,y,area_p,Ax,Ay
DEBUG:root:671,365,70,-56,60
DEBUG:root:166,525,19,60,-59
DEBUG:root:748,377,44,-59,60
DEBUG:root:197,512,22,60,-59
DEBUG:root:567,363,78,59,59
DEBUG:root:277,495,26,60,-59
DEBUG:root:379,353,70,59,-41
DEBUG:root:318,360,66,60,-58
DEBUG:root:325,363,64,60,-58
DEBUG:root:208,501,22,60,-59
DEBUG:root:412,367,40,59,-40
DEBUG:root:232,518,22,60,-59
DEBUG:root:404,366,79,59,-41
DEBUG:root:677,405,57,-51,60
DEBUG:root:247,549,16,60,-59
DEBUG:root:644,360,68,0,60
DEBUG:root:268,553,9,60,-59
DEBUG:root:476,357,79,24,-30
DEBUG:root:475,347,87,46,-10
DEBUG:root:554,353,81,59,59
DEBUG:root:480,347,82,48,-4
DEBUG:root:486,355,58,17,-27
DEBUG:root:473,383,43,56,-41
DEBUG:root:475,417,42,59,-48
DEBUG:root:473,421,44,59,-50
DEBUG:root:561,496,30,59,-58
DEBUG:root:535,515,26,59,-58
DEBUG:root:431,515,25,60,-59
DEBUG:root:345,524,20,60,-59
DEBUG:root:99,529,10,60,-60
DEBUG:root:62,536,6,60,-60
DEBUG:root:85,517,10,60,-60
DEBUG:root:78,516,9,60,-60
DEBUG:root:177,445,27,60,-52
DEBUG:root:345,443,29,60,-59
DEBUG:root:385,443,28,60,-59
DEBUG:root:348,449,27,60,-59
DEBUG:root:241,437,32,60,-59
DEBUG:root:191,427,33,60,-54
DEBUG:root:156,424,27,60,-55
DEBUG:root:164,426,29,60,-48
DEBUG:root:116,416,22,60,-59
DEBUG:root:99,413,18,60,-59
DEBUG:root:77,388,14,60,-59
DEBUG:root:97,389,19,60,-59
DEBUG:root:95,384,18,60,-59
DEBUG:root:48,384,8,60,-59
DEBUG:root:46,363,8,60,-59
DEBUG:root:62,349,12,60,-59
DEBUG:root:63,351,11,60,-59
DEBUG:root:61,334,10,60,-59
DEBUG:root:126,363,26,60,6
DEBUG:root:247,352,40,60,-58
DEBUG:root:321,354,42,59,-55
DEBUG:root:312,353,39,60,-58
DEBUG:root:327,353,32,59,-52
DEBUG:root:299,361,35,60,-59
DEBUG:root:300,362,34,60,-59
DEBUG:root:324,353,30,59,-53
DEBUG:root:383,361,28,59,-44
DEBUG:root:493,354,28,30,-18
DEBUG:root:595,355,27,59,60
DEBUG:root:606,350,23,58,60
DEBUG:root:621,348,20,51,60
DEBUG:root:675,338,21,-59,60
DEBUG:root:685,326,18,-59,60
DEBUG:root:715,309,20,-59,60
DEBUG:root:785,303,25,-60,60
DEBUG:root:836,314,23,-60,60
DEBUG:root:859,331,20,-60,60
DEBUG:root:799,340,21,-60,60
DEBUG:root:718,347,23,-59,60
DEBUG:root:642,350,26,-4,60
DEBUG:root:565,375,22,-25,-26
DEBUG:root:423,369,24,59,-38
DEBUG:root:353,385,22,60,-57
DEBUG:root:176,402,19,60,-22
DEBUG:root:127,409,24,60,-59
DEBUG:root:103,384,17,60,-59
DEBUG:root:29,387,4,60,-59
DEBUG:root:65,346,10,60,-59
DEBUG:root:103,332,14,60,22
DEBUG:root:80,343,12,60,-58
DEBUG:root:61,346,9,60,-59
DEBUG:root:138,330,15,60,59
DEBUG:root:173,331,13,60,48
DEBUG:root:215,334,14,60,-30
DEBUG:root:225,345,13,60,-49
DEBUG:root:268,344,13,60,-59
DEBUG:root:271,337,18,60,-59
DEBUG:root:350,346,18,59,-30
DEBUG:root:376,352,14,59,-41
DEBUG:root:497,369,20,8,-36
DEBUG:root:564,365,22,53,57
DEBUG:root:566,365,19,56,59
DEBUG:root:609,352,19,58,60
DEBUG:root:616,346,18,55,60
DEBUG:root:617,352,17,55,60
DEBUG:root:646,363,18,-5,60
DEBUG:root:679,383,19,-57,60
DEBUG:root:680,385,20,-57,60
DEBUG:root:711,377,21,-59,60
DEBUG:root:747,383,21,-59,60
DEBUG:root:783,400,19,-59,60
DEBUG:root:784,403,19,-59,60
DEBUG:root:791,409,24,-59,60
DEBUG:root:753,416,26,-59,60
DEBUG:root:711,441,24,-59,60
DEBUG:root:652,445,24,-58,-54
DEBUG:root:571,440,18,-33,-54
DEBUG:root:471,448,19,59,-55
DEBUG:root:433,442,14,59,-52
DEBUG:root:229,463,14,60,-59
DEBUG:root:199,459,14,60,-59
DEBUG:root:153,458,11,60,-59
DEBUG:root:140,458,8,60,-59
DEBUG:root:155,474,7,60,-59
DEBUG:root:194,445,11,60,-57
DEBUG:root:248,436,11,60,-59
